,year,pop,lifeExp,gdpPercap,country,continent
0,1952,8425333.0,28.801,779.4453145,Afghanistan,Asia
1,1957,9240934.0,30.332,820.8530296,Afghanistan,Asia
2,1962,10267083.0,31.997,853.10071,Afghanistan,Asia
3,1967,11537966.0,34.02,836.1971382,Afghanistan,Asia
4,1972,13079460.0,36.088,739.9811058,Afghanistan,Asia
5,1977,14880372.0,38.438,786.11336,Afghanistan,Asia
6,1982,12881816.0,39.854,978.0114388,Afghanistan,Asia
7,1987,13867957.0,40.822,852.3959448,Afghanistan,Asia
8,1992,16317921.0,41.674,649.3413952,Afghanistan,Asia
9,1997,22227415.0,41.763,635.341351,Afghanistan,Asia
10,2002,25268405.0,42.129,726.7340548,Afghanistan,Asia
11,2007,31889923.0,43.828,974.5803384,Afghanistan,Asia
12,1952,1282697.0,55.23,1601.056136,Albania,Europe
13,1957,1476505.0,59.28,1942.284244,Albania,Europe
14,1962,1728137.0,64.82,2312.888958,Albania,Europe
15,1967,1984060.0,66.22,2760.196931,Albania,Europe
16,1972,2263554.0,67.69,3313.422188,Albania,Europe
17,1977,2509048.0,68.93,3533.00391,Albania,Europe
18,1982,2780097.0,70.42,3630.880722,Albania,Europe
19,1987,3075321.0,72.0,3738.932735,Albania,Europe
20,1992,3326498.0,71.581,2497.437901,Albania,Europe
21,1997,3428038.0,72.95,3193.054604,Albania,Europe
22,2002,3508512.0,75.651,4604.211737,Albania,Europe
23,2007,3600523.0,76.423,5937.029526,Albania,Europe
24,1952,9279525.0,43.077,2449.008185,Algeria,Africa
25,1957,10270856.0,45.685,3013.976023,Algeria,Africa
26,1962,11000948.0,48.303,2550.81688,Algeria,Africa
27,1967,12760499.0,51.407,3246.991771,Algeria,Africa
28,1972,14760787.0,54.518,4182.663766,Algeria,Africa
29,1977,17152804.0,58.014,4910.416756,Algeria,Africa
30,1982,20033753.0,61.368,5745.160213,Algeria,Africa
31,1987,23254956.0,65.799,5681.358539,Algeria,Africa
32,1992,26298373.0,67.744,5023.216647,Algeria,Africa
33,1997,29072015.0,69.152,4797.295051,Algeria,Africa
34,2002,31287142.0,70.994,5288.040382,Algeria,Africa
35,2007,33333216.0,72.301,6223.367465,Algeria,Africa
36,1952,4232095.0,30.015,3520.610273,Angola,Africa
37,1957,4561361.0,31.999,3827.940465,Angola,Africa
38,1962,4826015.0,34.0,4269.276742,Angola,Africa
39,1967,5247469.0,35.985,5522.776375,Angola,Africa
40,1972,5894858.0,37.928,5473.288005,Angola,Africa
41,1977,6162675.0,39.483,3008.647355,Angola,Africa
42,1982,7016384.0,39.942,2756.953672,Angola,Africa
43,1987,7874230.0,39.906,2430.208311,Angola,Africa
44,1992,8735988.0,40.647,2627.845685,Angola,Africa
45,1997,9875024.0,40.963,2277.140884,Angola,Africa
46,2002,10866106.0,41.003,2773.287312,Angola,Africa
47,2007,12420476.0,42.731,4797.231267,Angola,Africa
48,1952,17876956.0,62.485,5911.315053,Argentina,Americas
49,1957,19610538.0,64.399,6856.856212,Argentina,Americas
50,1962,21283783.0,65.142,7133.166023,Argentina,Americas
51,1967,22934225.0,65.634,8052.953021,Argentina,Americas
52,1972,24779799.0,67.065,9443.038526,Argentina,Americas
53,1977,26983828.0,68.481,10079.02674,Argentina,Americas
54,1982,29341374.0,69.942,8997.897412,Argentina,Americas
55,1987,31620918.0,70.774,9139.671389,Argentina,Americas
56,1992,33958947.0,71.868,9308.41871,Argentina,Americas
57,1997,36203463.0,73.275,10967.28195,Argentina,Americas
